provider|filename|objects|description
AAO|aat053.jpg|4486|Messier 87 (NGC 4486) lies near the centre of the nearby cluster of galaxies in Virgo at a distance of about 50 million light years. Although the physical boundaries of elliptical galaxies are not well defined, (see deep image) their mass can be, and by any standards M87 is enormous. It contains several thousand billion stars. Associated with this giant galaxy are large numbers of globular clusters, visible in this photograph as the cloud of slightly fuzzy objects around it. Like all ellipticals, M 87 is composed mainly of old stars and is largely devoid of the materials needed to make new ones. The galaxy is not inert however; high energy X-rays have been detected from an extensive outer halo and the galaxy itself is also known as Virgo A, the strongest radio source in the Virgo cluster, which emerges as a jet to the north-west (upper right) of the galaxy. The optical counterpart of the jet is just visible against the glow of the galaxy itself. The source for this extreme behavior is probably a massive black hole at the centre of the galaxy.

AAO|aat060.jpg|4486|Messier 87 (NGC 4486) is at the heart of the cluster of galaxies in Virgo and has a mass many times that of the Milky Way, itself no lightweight. Unlike our galaxy however, M87 is an elliptical galaxy. Though it appears more-or-less spherical on this photograph, a deep image shows it to be markedly elongated. Also unlike the Milky Way, M87 contains relatively little gas and dust. It is composed mainly of cool stars, which gives it a yellowish colour, in contrast to the blue of spiral galaxies. Despite the lack of star-forming materials, M87 is not a quiescent backwater. It is a powerful source of radio waves and the orbits of stars near its nucleus suggest they are held by a very massive, extremely compact core. Also, from the nucleus (but not seen here) extends a curious jet, all of which suggests that a massive black hole is hidden in the bright core of the galaxy.

AAO|aat054.jpg|1566|NGC 1566 is the brightest member of a nearby galaxy group in Dorado and is at a distance of about 50 million light years. It has beautifully symmetrical, tightly-wound spiral arms, which on deep images appear to almost encircle the galaxy. This striking object is also of interest because it has a very luminous nucleus which has many of the characteristics of a quasar, though it is much less energetic. Galaxies of this type are known as Seyfert galaxies, after Carl Seyfert who first recognised their peculiar nature in 1943. The active region at the centre of NGC 1566 has recently been found to vary on a timescale of less than a month, which indicates that it is extremely compact. Spectra show that hot gas near the tiny nucleus is moving at an abnormally high velocity, usually an indication that it may be in orbit around a massive black hole at the heart of NGC 1566.

AAO|aat055.jpg|1365|Galaxies occur in a variety of shapes, but among the most eye-catching are the spirals, especially barred spirals. One of the finest in the sky is NGC 1365, the largest spiral in the southern constellation of Fornax, at a distance of about 60 million light years. This beautiful galaxy is about as massive as the Milky Way, itself a substantial galaxy. Not much is known about how galaxies take on their beautiful forms, but a good deal is known about their internal organisation. The obvious 'bar' has the nucleus of the galaxy at its hub and is surrounded by masses of cooler stars that appear yellow on colour photographs. The bar itself is also yellowish, and has distinct dust lanes but it terminates abruptly in slender, curved arms that are lit by blue stars and the pink star-forming regions from which they spring. This galaxy is a member of the nearby Fornax cluster of galaxies that includes NGC 1316-17, the radio source Fornax A.

AAO|aat056.jpg|300|NGC 300 is among the least conspicuous members of a sparse cluster of galaxies that are scattered across the south galactic pole, ideally placed for study with the AAT. The three photographic plates from which this picture was made have been specially enhanced to emphasise the delicate structure of the galaxy, revealing that the light of the spiral arms is dominated by young, blue stars. Here and there along the arms, indeed largely responsible for defining them, are denser clumps of stars, some still associated with the gas from which they formed. Many stars are clearly visible as individuals, for the Sculptor Group is relatively nearby, about 8 million light years away.

AAO|aat057.jpg|300|At the centre of the spiral arms of NGC 300 is an unusually compact, star-like nucleus. It is surrounded by a faint but extensive yellow haze, consisting of millions of faint, cool stars. This is the older population, or 'bulge' of NGC 300, a distant equivalent to the (much more numerous) stars that we see in our own galaxy as the brightest part of the Milky Way in Sagittarius. This picture was made from the same set of three plates that were used for AAT 56 and AAT 56a and shows that the inner parts of the galaxy contain many compact clusters of bright stars and their associated nebulae. The galaxy is in the constellation of Sculptor, which in turn is the direction of the Galactic pole, where we look out from the Milky Way at right angles to the Galactic centre. This is why the image contains very few bright Milky Way stars.

AAO|aat058.jpg|4321|The Virgo cluster spills over into the adjoining constellation of Coma Berenices and is the nearest moderately rich cluster of galaxies. It contains examples of almost every known kind of galaxy and two quite different types are represented here. The dominant galaxy is the face-on spiral M100, one of the finest spirals in this diverse group. As might be expected in a galaxy-rich environment, the lack of perfect symmetry in its brightest spiral arms suggests that M100 has been disturbed by gravitational interaction with its neighbours. At the top of the image is the first colour picture of a much less spectacular galaxy, a so-called 'nucleated dwarf' elliptical galaxy, probably interacting with M100. Dwarf galaxies are by far the commonest kind in rich clusters such as this, but nucleated examples are quite rare. Many more can be seen on a deep image of this field.

AAO|aat059.jpg|4321|From the same plates that were used to make AAT 58, a deeper picture has been created to show much fainter galaxies. In the process the brighter details of M100 and the nucleated dwarf galaxy have been lost, but many other faint galaxies are seen. One seems to be involved with the faint outskirts of the large spiral. The somewhat distorted shape of the dwarf galaxy suggests it could be both influencing and being influenced by M100, and may be the cause of the asymmetry in the spiral arms seen in AAT 58. Nearby is an even fainter, elongated dwarf galaxy and elsewhere in the picture are several others, all probably members of the Virgo cluster, which spills over into the adjoining constellation of Coma Berenices. Many more can be seen on a deep image of this field.

AAO|aat061.jpg|3623|M65 in Leo is an elegant spiral galaxy which is highly inclined to our line of sight, revealing a prominent and bright central bulge. Apart from the bulge, the other notable feature of M65 is its dust lane, which so obviously surrounds the galaxy but is only clearly seen where it hides a bright background. Elsewhere, dust is associated with bright, clumpy knots of star formation visible along the inner spiral arm. One arm of the galaxy seems slightly displaced, as though it had undergone some interaction with other massive galaxies. This is hardly surprising, since it is a member of a small group about 30 million light years away that includes M66 and NGC 3628.

AAO|aat062.jpg|3627|M66 in Leo is a dusty spiral galaxy, and is a member of the same compact group of galaxies as M65 and NGC 3628. The striking symmetry of M65 is lacking, and the central bulge, though large, is less well defined. The spiral arms are very easy to see, but seem distorted and displaced above the plane of the galaxy, probably a result of interactions with its neighbours. Much more dust is visible here as well as a few pink nebulae, signs of star formation, near the end of one of the arms.

AAO|aat063.jpg|3628|Probably the most interesting member of the Leo triplet was too faint for Messier to see, so it does not appear in his catalogue. This picture has been specially enhanced to reveal NGC 3628, which is seen as an edge-on spiral galaxy, crossed by a dust lane. Galaxies seen edge-on are rare, but this example has other peculiarities. The dust lane is distinctly askew and the ends of the spiral arms are obviously puffed out, with evidence of star formation. The bright bulge of the galaxy also has an unusual 'peanut' shape. This suggests that the galaxies of the Leo group are interacting, gradually pulling each other apart as they orbit each other. Paradoxically, this will lead to their eventual merger.

AAO|aat064.jpg|1313|In visible light, NGC 1313 in the southern constellation of Reticulum seems to be dominated by scattered patches of star formation which give our picture a rather ragged appearance. The clouds of bluish stars seem to have burst into existence at random, without the normal trigger gravitational interaction or even a distinct spiral to prompt them. Star formation seems to have occurred in a series of irregular, self-sustaining bursts. However, a very deep image shows that the outer parts of galaxy are also very disturbed. Seen with a radio telescope, the galaxy is rich in hydrogen, the raw material of stars, and the gas circulates around the centre of the galaxy in a well ordered way, apparently hardly affected by the starburst activity or other irregularities that so colour our visual impression of this unusual galaxy. NGC 1313 is at a distance of about 15 million light years, close enough for some of its brightest stars to be seen as individuals.

AAO|aat065.jpg|4038,4039|NGC 4038 and 4039 are the well-known pair of interacting galaxies that show two broadly curved tails of stars, the 'antennae', extending a considerable distance from the action. This distinctive display is seen on a deeper deep image and gives the structure its popular name: it seems to have distracted attention from the interacting galaxies themselves. It is possible that one of the two disc galaxies involved was a 'gas-less spiral' (S0), because the most southerly of the pair is distinctly yellow, while the outer parts its companion are bluer. The colour picture reveals the burst of star formation triggered by the encounter, the large numbers of pink emission nebulae in the inter-galaxy region and the location of the numerous dark, brownish-yellow clouds of dust. The yellow nuclei of the two galaxies are also still visible in the colour picture as separate entities. The galaxies are in Corvus at a distance of about 45 million light years.

AAO|aat097.jpg|3351|This fine galaxy is seen almost face-on and is one of a small group in Leo whose members are at distance of about 25 million light years. Despite the distance, several of these galaxies appear in Messier's catalogue, about one third of which consists of galaxies. Though the exact form of our own galaxy, the Milky Way, is not known, there is increasing evidence that it is a barred spiral, perhaps like M95. While the 'bar' is the dominant feature in a picture taken from afar, it is easy to imagine that this structure could be very difficult to detect from inside the galaxy, especially if seen from a position at right angles to it.

AAO|aat099.jpg|5078|NGC 5078 is a lenticular (lens-shaped) galaxy crossed by a distinct dusty band which is seen against the bright background of the galaxy itself. The dust lane is warped and broadened, probably by interaction with the faint companion galaxy IC 879, which is itself distorted into an 'S' shape by the interaction. The slightly bluish colour of parts of the fainter galaxy is suggestive of star formation, probably triggered by the interaction. Encounters between galaxies such as this are common, and often lead to them merging into a single entity. It is likely that the dust lane of NGC 5078 is the remnant of a dusty spiral which fell into it long ago. These galaxies are about 80 million light years distant in the meandering constellation of Hydra.

AAO|aat100.jpg|4594|The Sombrero, named after the broad-brimmed Mexican hat it superficially resembles, is probably the most famous galaxy in the sky. The light from this remarkable spiral system is dominated by the billions of old, faint stars that form the vast 'bulge' around its tiny hidden nucleus. Most spirals, including the Milky Way, have clouds of old, faint stars around their nuclei, but in M104 the galaxy's light is dominated by them. This effect is enhanced because disk of the galaxy is seen nearly edge-on and dust in its outer parts is in silhouette as it crosses the picture. Within the dusty disk are low contrast structures that show this galaxy to be a genuine spiral, immersed in an unusually large central bulge. The bulge is seen best on a deep image and is much bigger than it appears here. It also shows some extremely faint features that are suggestive of tidal tails -- merger remnants. The galaxy is about 65 million light years distant, on Virgo's southern border.

AAO|aat101.jpg|4945|This is one of many peculiar galaxies that populate the large southern constellation of Centaurus. This remarkable spiral galaxy seen almost edge-on, and the spiral structure is chaotic and difficult to discern. In part this is because the galaxy is itself extremely dusty, and it is seen through dust in the Milky Way. These effects together account for its yellowish hue, though patches of bluish stars can be seen. The dust in NGC 4945 absorbs most of the visible light, especially the blue light from the numerous bright stars known present within the galaxy. This energy is re-radiated at infrared wavelengths, which penetrate dust more readily, which is why the galaxy is found to be unusually bright in the infrared.

AAO|aat102.jpg|55|The nearest galaxy to the Milky Way is the Large Magellanic Cloud (LMC), which we see from a distance of 170,000 light years. It is inclined to our line of sight by about 40 degrees. Magellanic-type galaxies are quite rare, so we are lucky to have such a close view of such an unusual specimen. For purely statistical reasons edge-on galaxies are also rare, so we are especially fortunate to have in NGC 55 an example of a Magellanic-type galaxy seen edge-on which is also nearby. NGC 55 is at a distance of about 5 million light years, in the direction of the constellation of Sculptor. It is close enough for us to see it resolved into individual stars. With a big telescope like the AAT, the central regions look very much like the Milky Way seen with an ordinary camera. NGC 55 is a member of the Sculptor group, where the galaxies are few in number and well separated in space. It is probably for this reason that NGC 55 is not rich in star forming regions, because it is not interacting with any nearby companion galaxy, unlike the LMC, which is stirred up by interactions with both the Milky Way and the Small Magellanic Cloud.

AAO|aat116.jpg|3312,3311,3314|This splendid cluster of galaxies in Hydra is framed by two nearby, cool stars in our own Milky Way. The brightest is about 5th magnitude, visible to the unaided eye only under a dark sky; the second brightest is below naked-eye visibility. In contrast the galaxies appear featureless in all but the largest telescopes. The bluish, elongated galaxy is an edge-on spiral, NGC 3312. It has been distorted by interactions with its neighbours. They in turn have been affected, and the brightest of the two adjacent yellow elliptical galaxies (NGC 3311) has an assymetrical envelope, perhaps as a result of this encounter. It's hard to tell who is jostling who in a crowded group of galaxies such as this. Among the most interesting galaxies in the group are two faint spirals (NGC 3314) that are by chance aligned along the line of sight. They are seen a little to the left of the fainter star and directly below the brighter. On a higher resolution AAT picture it is clear we are seeing one galaxy in front of another. These galaxies are even better seen in a beautiful HST image. Such chance alignments are rare and allow astronomers to study the contents of the foreground galaxy in great detail, thus addressing a controversial topic in astronomy: are galaxies transparent?

AAO|uks024.jpg|4305,4306,4374,4387,4388,4402,4406,4407,4408,4409,4410,4411,4412,4413,4425,4435,4436,4438,4443|The nearest moderately rich cluster of galaxies lies in the direction of Virgo. The richest part of the cluster is centred on the giant elliptical galaxies M84 and M86 which dominate this picture. Not surprisingly in such a relatively crowded environment, close encounters between cluster members are fairly common and in the upper left (NE) of the photograph NGC 4438 has been distorted by its companion NGC 4435. The whole cluster is receding with an average velocity of over 1000 km per second but there is sufficient variation around that value to suggest that it may be composed of more than one cloud of galaxies which is probably elongated along our line of sight, adding to the apparent richness seen here.. These galaxies have faint, extended outer envelopes, seen on this deep image.

INT|int001.jpg|224|The nearest comparable spiral galaxy to the Milky Way is M31 (NGC 224), the great galaxy in Andromeda. It is visible to the unaided eye and has been known as a curious hazy patch since ancient times. Only in the last 75 years has its nature as a distant city of stars like the Milky Way become apparent. This picture covers almost half a degree of sky (about the size of the full moon), but wide angle telescopes show the galaxy to be over three degrees long at its widest. Here we see only the central part of M31, the huge mass of stars that are in orbit around its nucleus. Silhouetted against this starry background are tangled sheets and curtains of dust, very reminiscent of dust clouds we see in our own galaxy. M31 is in the Local Group of galaxies of which the Milky Way is the other prominent member. These galaxies are gravitationally bound to each other and do not share in the general expansion of the universe. M31 and the Milky Way are approaching each other at a velocity of about 300 km per second, which is a very modest speed on the cosmic scale. Like all the images on these pages, this picture was made from three black and white glass negatives. Some care has been taken to ensure that the colours seen here are realistic. 

INT|int002.jpg|224|At the heart of the nearby spiral galaxy M31 is a tiny, bright nucleus, seen to be slightly elongated on this colour picture. Hubble Space Telescope pictures show the nucleus to be a double structure, possibly the remains of the nucleus of another galaxy which has now been almost completely absorbed in M31. Around the binary nucleus swirls a huge cloud of mostly old, faint stars. These haze of stars is unresolved on the plates that were used to make this picture and have been removed by a photographic process known as 'unsharp masking'. This not only reveals the inner nucleus but also shows traces of dust which seem to stream into the bright central part of the galaxy. Studies of the stars around the nucleus strongly suggest that at the heart of M31 there lurks a black hole, accelerating stars close to it to abnormally high velocities. Similar effects are seen in the Milky Way, but in our galaxy the nucleus is hidden at optical wavelengths, so observations are made in the infrared and at radio wavelengths. 

INT|int004.jpg|891|If we could view the Milky Way from a distance of about 30 million light years it would look something like NGC 891. But galaxies that look like this are quite rare because the chance alignment of the thin disk of a spiral galaxy with our line of sight is unusual. A few degrees either side of its orientation and NGC 891 would be just another highly inclined spiral galaxy. From this unusual vantage point we can see in NGC 891 the surprising narrowness of the obscuring dust lane, a dark, slightly irregular band across the galaxy. We also see that it is yellowish, confirming that it is dust, which absorbs blue light, as in the Milky Way. Also similar to the Milky Way is the prominent central 'bulge' corresponding to the rich star clouds in Sagittarius. However, unlike the Milky Way, NGC 891 is relatively isolated, undisturbed by neighbouring galaxies. If this was a distant view the Milky Way, the dust-lane would probably be distorted by interaction with the Magellanic Clouds, which would be prominent in the picture.

INT|int005.jpg|598|M33 is a large, almost face-on spiral galaxy about 2.5 million light years distant in the northern constellation of Triangulum. It is a member of the 'Local Group' of galaxies, which is dominated by the Milky Way and M31. Like M31, M33 is approaching the Milky Way at a velocity of about 180km/s. Though the total light M33 galaxy is that of a star of magnitude 5.3, its large diameter makes it hard to see. However, despite its low surface brightness, this galaxy was among the first to be identified as a 'spiral nebula' by Lord Rosse in the 1840s. On shorter exposures, the nucleus appears very bright and almost stellar, like that in its southern cousin, NGC 300.

INT|int006.jpg|598,604|M33 is a large, almost face-on spiral galaxy about 2.5 million light years distant in the northern constellation of Triangulum. It is a member of the 'Local Group' of galaxies, which is dominated by the Milky Way and M31. Like M31, M33 is approaching the Milky Way at a velocity of about 180km/s. Though the total light M33 galaxy is that of a star of magnitude 5.3, its large diameter makes it hard to see. However, despite its low surface brightness, this galaxy was among the first to be identified as a 'spiral nebula' by Lord Rosse in the 1840s. In the upper left (north-east) part of this wide field view is the reddish nebula NGC 604, one of the biggest and most active nearby starforming regions. It is about 150 light years in diameter, eqivalent to the distance from the Sun to the Orion nebula. 

AAO|aat098.jpg|2442|This unusual barred spiral galaxy is in the far southern constellation of Volans and was discovered by Sir John Herschel who described one of its spiral arms as hook-like. Although not seen here, (but evident on very deep images) NGC 2442 appears to have a less massive, distant companion that is also distorted, and it seems likely that the two have had a close encounter in the recent past. If there are no further meetings, the forces that hold NGC 2442 together will restore galaxy to a more symmetrical spiral form. However, much more likely is that the companion has been captured by the distorted spiral and will eventually be devoured by it, triggering a dramatic bout of star formation. NGC 2442 is about 50 million light years distant.

AAO|aat017a.jpg|2997|NGC 2997 is a fine southern spiral galaxy seen from a distance of about 45 million light years. It is in Antlia and is inclined at about 45 degrees to our line of sight, revealing its internal structure and giving the galaxy an oval appearance. Seen face-on, NGC 2997 would look rather like Messier 83. Like most spirals, the galaxy has two prominent spiral arms, which appear to originate in the yellow nucleus, are peppered with bright red blobs of ionised hydrogen which are similar to regions of star formation in our own Milky Way. Within these gas clouds are produced the hot blue stars which generate most of the light in the arms of the galaxy. A much older population of yellowish stars are concentrated around the nucleus. A much deeper image shows that the galaxy is much bigger than it appears above.

AAO|aat056a.jpg|300|NGC 300 is among the least conspicuous members of a sparse cluster of galaxies that are scattered across the south galactic pole, which is why there are so few stars visible in this wide field view. The three photographic plates from which this picture was made have been specially enhanced to emphasise the delicate outer structure of the galaxy, revealing that the light of the spiral arms is dominated by young, blue stars. Here and there along the arms, indeed largely responsible for defining them, are denser clumps of stars, some still associated with the gas from which they formed. Many stars are clearly visible as individuals, for the Sculptor Group is relatively nearby, about 8 million light years away.

INT|int003.jpg|221,206,224|M31 is the finest and nearest large spiral galaxy in the sky, about 2 million light years away. Despite its distance it can be seen as an elongated streak with the unaided eye in northern skies and in a large telescope under good conditions it is clearly resolved into stars and star-forming regions. This picture shows less than half the galaxy but the spiral structure, star clouds and dust lanes are evident. Also here is one of M31's close companions, the compact elliptical galaxy M32 (NGC 221), at upper left (NE). M31 and its companions belong to the Local Group of about 30 galaxies that includes the Milky Way and M31 as its most massive members as well as the Magellanic Clouds. This picture is about half a degree across and is of the same region as the frontispiece in Hubble's famous book "The Realm of the Nebulae" (Harvard UP, 1936). In his illustration Hubble points out a Cepheid variable star, a globular cluster, a star cloud and open cluster as typical ingredients of a spiral galaxy. The star cloud is so conspicuous that it has its own New General Catalogue number, NGC 206 

AAO|aat100a.jpg|4594|The Sombrero, named after the broad-brimmed Mexican hat it superficially resembles, is probably the most famous galaxy in the sky. The light from this remarkable spiral system is dominated by the billions of old, faint stars that form the vast 'bulge' around its tiny hidden nucleus. Most spirals, including the Milky Way, have clouds of old, faint stars around their nuclei, but in M104 the galaxy's light is dominated by them. This effect is enhanced because disk of the galaxy is seen nearly edge-on and dust in its outer parts is in silhouette as it crosses the picture. Within the dusty disk are low contrast structures that show this galaxy to be a genuine spiral, immersed in an unusually large central bulge. The bulge is seen best on a deep image and is much bigger than it appears here. It also shows some extremely faint features that are suggestive of tidal tails -- merger remnants. The galaxy is about 65 million light years distant on Virgo's southern border. 

AAO|aat118.jpg|1316,1317|NGC 1316-17 are on the outskirts of a nearby cluster of galaxies in the southern constellation of Fornax, at a distance of about 60 million light years. At first glance, the optical image of these galaxies does not seem to be very unusual. However, closer inspection shows that the larger galaxy, the elliptical NGC 1316, has distinct dust lanes in its inner regions, and NGC 1317 is a strangely distorted spiral. The dust lanes strongly suggest that NGC 1316 has recently absorbed a dusty spiral galaxy, and that the merger is not yet complete. The colour picture also hints at faint arcs or shells of stars in the outer parts of the galaxy, another strong indication of recent merger activity. A much deeper picture reveals enormous loops and shell-like structures extending far beyond this photograph, again supporting the merger hypothesis. If any more evidence were needed, it is provided by radio astronomers, who see Fornax A as one of the strongest and largest sources in the sky, with radio lobes extending over several degrees of sky. However, unlike the faint optical extensions, the radio lobes extend roughly E-W across the sky. There is another southern galaxy with many of these characteristics -- dusty elliptical, faint outer shells and somewhat detached from a cluster of galaxies. This is NGC 5128, Centaurus A, a confimed merger remnant. 

AAO|aat007.jpg|5128|The galaxy in Centaurus, now known as NGC 5128 was first discovered by James Dunlop at the Parramatta Observatory near Sydney in 1826. NGC 5128 is also a powerful radio source known as Centaurus A. It is a most unusual object, an elliptical galaxy crossed by a dust lane. Elliptical galaxies are usually almost featureless and almost dust-free, while galaxies with pronounced dust lanes are usually spirals. The elliptical-like, uniformly bright portion is composed of several thousand million stars, most of them old and yellowish. The prominent dust lane obscures and reddens the light of stars behind it, though some younger, blue stars can be seen at the edges of the dust cloud, indicating recent star formation, which is not expected in an elliptical galaxy. One of the nearer galaxies, NGC 5128 is about 10 million light years away, and host to the most powerful nearby radio source. This remarkable galaxy is also a copious source of X- and gamma rays as well as visible and infrared radiation. These are characteristics of an 'active' galaxy one where the massive black hole present in most large galaxies is actively accreting material from its surroundings. This intense activity is probably the result of the merger of a dusty spiral with an elliptical galaxy, an explanation that accounts for ths galaxy's optical appearance. The curious green star in the dust lane appears because the blue- and green-light plates were taken when supernova 1986g had just appeared and was bright, while the red-light plate was taken over a year later, after the supernova had faded. Finally, NGC 5128 has a huge, faint halo of stars seen in this very deep image made using special photographic techniques. 

AAO|aat007a.jpg|5128|NGC 5128 is in Centaurus in the southern sky, located not far above the Galactic plane, which accounts for the richness of the star field in which it is set. The circular, uniformly bright part of the galaxy is composed of several thousand million stars, most of them old and yellowish, as in an elliptical galaxy. However, unusually, this galaxy is girded by a dense dust lane which obscures and reddens the light of stars behind it while some younger, blue stars can be seen at the edges of the dust cloud. One of the nearer galaxies, 10 million light years away, NGC 5128 is also known as Centaurus A, the most powerful nearby radio source and is also a copious source of X- and gamma rays as well as visible and infrared radiation. This wide field view is just under a degree across, but the radio lobes extend many degrees of arc beyond the confines of this image.

AAO|uks032.jpg|5128|NGC 5128 is a most unusual galaxy, set in Centaurus, a rich part of the southern sky. It was discovered at Paramatta Observatory near Sydney by James Dunlop in 1826. Not only are there plenty of stars here to catch the eye, but the region is rich in galaxies, many of them such as M83, are, like NGC 5128, members of the Centaurus galaxy cluster. One of the nearer galaxies, at 13 million light years away, NGC 5128 is the most powerful nearby radio source (Centaurus A) and was discovered by Australian radio astronomers in 1947. It is also a copious source of X- and gamma rays as well as visible and infrared radiation. Optically it is predominantly an elliptical galaxy, but crossed by a dark lane of dust. Its light is mainly that of old, cool stars, which is why it appears yellowish on this colour image.

AAO|uks017a.jpg|362|The Small Magellanic Cloud (SMC) is the second nearest galaxy to the Milky Way, (the LMC being the nearest) and is at the distance of about 240,000 light years in the constellation of Tucana, quite close enough for it to be resolved into individual stars on this colour picture made from plates taken on the UK Schmidt Telescope. The shape of the SMC defies description and it is therefore classified as an 'irregular' galaxy. However, since galaxies show a strong tendency to be symmetrical and irregulars are rather rare we could be seeing first hand evidence of its recent tidal disruption by the combined effects of both our Galaxy and the LMC. Since the SMC is the least massive of the three it is the most likely member of this interacting trio to be seriously distorted by the encounter. The evidence is that the SMC is elongated more or less along our line of sight, as though we are looking into sausage-shaped galaxy from one end. The large globular cluster at right is 47 Tucanae, while a smaller one at the top of the picture is NGC 362. It is about 30,000 light years distant, twice as far away as 47 Tuc.

AAO|aat103.jpg|3628|This picture is almost a degree across on the sky and shows three members of a small group of galaxies in the northern constellation of Leo. These galaxies are together in space at a distance of about 30 million light years. Two of the galaxies were bright enough for Messier to see and he catalogued them as M65 and M66. Probably the most interesting member of the Leo triplet was too faint for Messier to notice, so it does not appear in his catalogue. This is NGC 3628, which is seen as an edge-on spiral galaxy at the top of the picture. Galaxies seen edge-on are unusual, but NGC 3628 has other peculiarities that tell us something of the nature of the group as a whole. The dust lane is distinctly askew and the ends of the spiral arms are obviously puffed out, with some evidence of star formation. The bright bulge of the galaxy also has an unusual 'peanut' shape. All of this confirms observations made at radio wavelengths that reveal the galaxies of the Leo group are physically associated, gradually pulling each other apart as they engage their partners in a gravitational waltz from which there is no escape. The galaxies will eventually merge, losing their identity in a massive burst of star formation. The rectangular pattern at the top of the picture is from the projection calibration sensitometer built into the photographic camera on the AAT. This pattern appears on every plate and is used to provide photometric and colour balance information, but is normally cropped off the final images. 

AAO|uks013.jpg|1365,1369,1373,1375,1374,1378,1379,1380,1380,1381,1392,1386,1387,1382,1389,1396,1399,1404,1408|Galaxies can be separated by their appearance into two broad groups, spirals and ellipticals. An example of a spiral galaxy, NGC 1365, is seen in the lower right corner of this picture. In contrast, most of the galaxies in this cluster are ellipticals, which contain little or no gas or evidence of star formation; indeed they are composed millions of rather old, yellowish stars. Unlike many of the stars in spiral systems, those in ellipticals have orbits which are not confined to a narrow plane, so the galaxy can have a shape anywhere between a perfect sphere and an American football. This kind of galaxy is the most common type in the photograph as it is in all of the nearby Universe. The picture also illustrates another distinctive property of ellipticals, their gregarious nature - they congregate in clusters, like this group of galaxies in > Fornax, 60 million light years distant. We also have a wider field view of the cluster that includes Fornax A (NGC 1316-17) and a much deeper image that shows how large these galaxies are.

