NGC Number,Other names, Object type,Constellation,Right ascension(J2000),Declination (J2000),Apparent magnitude

0030,,Double star,Pegasus,00h 11m,+21° 57′,,
0031,,Spiral galaxy,Phoenix,00h 10m 38.5s,-56° 59′ 11″,,
0032,,Asterism,Pegasus,00h 11m,+18° 47′,14,
0033,,Double star,Pisces,00h 11m,+03° 40′,15,
0034,(Duplicate of NGC 17),Spiral galaxy,Cetus,00h 11m 06.6s,-12° 06′ 26″,14.0,
0035,,Spiral galaxy,Cetus,00h 11m 10.5s,-12° 01′ 15″,14,
0036,,Spiral galaxy,Pisces,00h 11m 22.5s,+06° 23′ 21″,14.5,
0037,,Lenticular galaxy,Phoenix,00h 11m 22.7s,-56° 57′ 22″,,
0038,,Spiral galaxy,Pisces,00h 11m 47.0s,-05° 35′ 09″,13.5,
0039,,Spiral galaxy,Andromeda,00h 12m 19.0s,+31° 03′ 40″,14.4,
0040,,Planetary nebula,Cepheus,00h 13m 01.0s,+72° 31′ 19″,11.7,
0041,,Spiral galaxy,Pegasus,00h 12m 48.0s,+22° 01′ 26″,14.6,
0042,,Lenticular galaxy,Pegasus,00h 12m 56.4s,+22° 05′ 60″,15.0,
0043,,Lenticular galaxy,Andromeda,00h 13m 01.0s,+30° 54′ 55″,13.9,
0044,,Double star,Andromeda,00h 13m,+31° 18′,,
0045,,Irregular galaxy,Cetus,00h 14m 04.0s,-23° 10′ 51″,11.2,
0046,,Star,Pisces,00h 14m,+05° 59′,,
0047,,Spiral galaxy,Cetus,00h 14m 30.6s,-07° 10′ 03″,13,
0048,,Spiral galaxy,Andromeda,00h 14m 02.3s,+48° 14′ 04″, 15.0,
0049,,Lenticular galaxy,Andromeda,00h 14m 22.5s,+48° 14′ 47″,15.3,
0050,,Lenticular galaxy,Cetus,00h 14m 44.7s,-07° 20′ 42″,12,
0051,,Lenticular galaxy,Andromeda,00h 14m 35.0s,+48° 15′ 20″,14.6,
0052,,Spiral galaxy,Pegasus,00h 14m 40.3s,+18° 34′ 55″,14.6,
0053,,Spiral galaxy,Tucana,00h 14m 42.9s,-60° 19′ 39″,,
0054,,Spiral galaxy,Cetus,00h 15m 07.7s,-07° 06′ 25″,14,
0055,,Irregular galaxy,Sculptor,00h 15m 08.4s,-39° 13′ 13″,8.2,
0056,,Unknown,Pisces,00h 15m,+12° 27′,,
0057,,Elliptical galaxy,Pisces,00h 15m 31.0s,+17° 19′ 41″,13.7,
0058,(Duplicate of NGC 47),Spiral galaxy,Cetus,00h 14m 30.6s,-07° 10′ 03″,13,
0059,,Lenticular galaxy,Cetus,00h 15m 25.4s,-21° 26′ 42″,13.1,
0060,,Spiral galaxy,Pisces,00h 15m 58.3s,-00° 18′ 14″,15.4,
0061,,Interacting galaxy,Pisces,00h 16m 24.3s,-06° 19′ 08″,15,
0062,,Spiral galaxy,Cetus,00h 17m 05.4s,-13° 29′ 15″,14,
0063,,Spiral galaxy,Pisces,00h 17m 45.6s,+11° 27′ 01″,12.6,
0064,,Spiral galaxy,Cetus,00h 17m 30.3s,-06° 49′ 29″,13.6,
0065,,Lenticular galaxy,Cetus,00h 18m 58.6s,-22° 52′ 48″,,
0066,,Spiral galaxy,Cetus,00h 19m 04.9s,-22° 56′ 11″,,
0067,,Elliptical galaxy,Andromeda,00h 18m 14.9s,+30° 03′ 46″,15.7,
0068,,Lenticular galaxy,Andromeda,00h 18m 18.5s,+30° 04′ 17″,14.5,
0069,,Lenticular galaxy,Andromeda,00h 18m 20.5s,+30° 02′ 24″,15.7,
0070,,Spiral galaxy,Andromeda,00h 18m 22.6s,+30° 04′ 46″,14.5,
0071,,Lenticular galaxy,Andromeda,00h 18m 23.6s,+30° 03′ 47″,14.8,
0072,,Spiral galaxy,Andromeda,00h 18m 28.4s,+30° 02′ 26″,15.0,
0073,,Spiral galaxy,Cetus,00h 18m 39.0s,-15° 19′ 20″,13,
0074,,Galaxy,Andromeda,00h 18m 49.4s,+30° 03′ 42″,16,
0075,,Lenticular galaxy,Pisces,00h 19m 26.4s,+06° 26′ 57″,14.8,
0076,,Spiral galaxy,Andromeda,00h 19m 37.8s,+29° 56′ 02″, 14.0,
0077,,Lenticular galaxy,Cetus,00h 20m 01.7s,-22° 31′ 56″,,
0078,,Interacting galaxy,Pisces,00h 20m 27.6s,+00° 49′ 60″,14.5,
0079,,Elliptical galaxy,Andromeda,00h 21m 02.9s,+22° 33′ 60″,14.9,
0080,,Lenticular galaxy,Andromeda,00h 21m 11.0s,+22° 21′ 24″,13.7,
0081,,Galaxy,Andromeda,00h 21m 13.2s,+22° 22′ 59″,17.7,
0082,,Star,Andromeda,00h 21m 17.5s,+22° 27′ 37″,,
0083,,Elliptical galaxy,Andromeda,00h 21m 22.5s,+22° 26′ 00″,14.2,
0084,,Galaxy,Andromeda,00h 21m 33.7s,+22° 35′ 35″,15.8,
0085,,Lenticular galaxy,Andromeda,00h 21m 25.5s,+22° 30′ 42″,15.7,
0086,,Spiral galaxy,Andromeda,00h 21m 28.7s,+22° 33′ 23″,14.9,
0087,,Irregular galaxy,Phoenix,00h 21m 14.0s,-48° 37′ 42″,14.5,
0088,,Spiral galaxy,Phoenix,00h 21m 21.8s,-48° 38′ 25″,15.2,
0089,,Spiral galaxy,Phoenix,00h 21m 24.4s,-48° 39′ 57″,14.6,
0090,,Star,Andromeda,00h 22m,+22° 25′,,
0091,,Galaxy,Andromeda,00h 21m,+22° 25′, 15.0,
0092,,Spiral galaxy,Phoenix,00h 21m 31.4s,-48° 37′ 28″,14.3,
0093,,Spiral galaxy,Andromeda,00h 22m 03.4s,+22° 24′ 28″,14.7,
0094,,Lenticular galaxy,Andromeda,00h 22m 13.1s,+22° 28′ 44″,15.6,
0095,,Spiral galaxy,Pisces,00h 22m 13.7s,+10° 29′ 29″,13.4,
0096,,Galaxy,Andromeda,00h 22m 17.8s,+22° 32′ 48″,17,
0097,,Elliptical galaxy,Andromeda,00h 22m 30.1s,+29° 44′ 43″,13.5,
0098,,Spiral galaxy,Phoenix,00h 22m 49.5s,-45° 16′ 09″,12.8,
0099,,Spiral galaxy,Pisces,00h 23m 59.5s,+15° 46′ 14″,14.0,
0100,,Spiral galaxy,Pisces,00h 24m 02.8s,+16° 29′ 10″,14.6,
0101,,Spiral galaxy,Sculptor,00h 23m 54.6s,-32° 32′ 09″,,
0102,,Galaxy,Cetus,00h 24m 36.5s,-13° 57′ 22″,14,
0103,,Open cluster,Cassiopeia,00h 25m,+61° 21′,10.3,
0104,47 Tucanae,Globular cluster,Tucana,00h 24m 05.7s,-72° 04′ 53″,5.8,
0105,,Spiral galaxy,Pisces,00h 25m 16.9s,+12° 53′ 01″,14.1,
0106,,Galaxy,Pisces,00h 24m 43.8s,-05° 08′ 55″,14.5,
0107,,Spiral galaxy,Cetus,00h 25m 42.1s,-08° 16′ 58″,15.7,
0108,,Lenticular galaxy,Andromeda,00h 25m 59.8s,+29° 12′ 42″,13.3,
0109,,Spiral galaxy,Andromeda,00h 26m 14.7s,+21° 48′ 25″,15.0,
0110,,Open cluster,Cassiopeia,00h 27m,+71° 24′,,
0111,,Unknown,Cetus,00h 27m,-02° 38′,,
0112,,Spiral galaxy,Andromeda,00h 26m 48.8s,+31° 42′ 12″,14.5,
0113,,Lenticular galaxy,Cetus,00h 26m 54.6s,-02° 30′ 03″,13.5,
0114,,Lenticular galaxy,Cetus,00h 26m 58.4s,-01° 47′ 10″,15.0,
0115,,Spiral galaxy,Sculptor,00h 26m 46.6s,-33° 40′ 36″,14,
0116,,Galaxy,Cetus,00h 27m 05.3s,-07° 40′ 05″,14.5,
0117,,Lenticular galaxy,Cetus,00h 27m 10.9s,+01° 20′ 03″,15.5,
0118,,Irregular galaxy,Cetus,00h 27m 16.2s,-01° 46′ 48″,14.9,
0119,,Lenticular galaxy,Phoenix,00h 26m 57.5s,-56° 58′ 42″,,
0120,,Lenticular galaxy,Cetus,00h 27m 30.3s,-01° 30′ 49″,14.8,
0121,,Globular cluster,Tucana,00h 26m 49.0s,-71° 32′ 10″,11.2,
0122,,Unknown,Cetus,00h 28m,-01° 38′,,
0123,,Unknown,Cetus,00h 28m,-01° 36′,,
0124,,Spiral galaxy,Cetus,00h 27m 52.5s,-01° 48′ 38″,13.8,
0125,,Lenticular galaxy,Pisces,00h 28m 50.3s,+02° 50′ 19″,14.2,
0126,,Lenticular galaxy,Pisces,00h 29m 08.1s,+02° 48′ 40″,14.5,
0127,,Lenticular galaxy,Pisces,00h 29m 12.4s,+02° 52′ 22″,13.2,
0128,,Lenticular galaxy,Pisces,00h 29m 15.1s,+02° 51′ 51″,13.2,
0129,,Open cluster,Cassiopeia,00h 30m,+60° 13′,7.3,
0130,,Lenticular galaxy,Pisces,00h 29m 18.0s,+02° 52′ 18″,15,
0131,,Spiral galaxy,Sculptor,00h 29m 38.0s,-33° 15′ 38″,13.5,
0132,,Spiral galaxy,Cetus,00h 30m 10.7s,+02° 05′ 35″,13.8,
0133,,Open cluster,Cassiopeia,00h 31m 12s,+63° 22′,9.4,
0134,,Spiral galaxy,Sculptor,00h 30m 21.5s,-33° 14′ 49″,11.0,
0135,IC 26,Galaxy,Cetus,00h 31m 45.6s,-13° 20′ 17″,,
0136,,Open cluster,Cassiopeia,00h 32m,+61° 32′,,
0137,,Lenticular galaxy,Pisces,00h 30m 58.2s,+10° 12′ 29″,14.2,
0138,,Spiral galaxy,Pisces,00h 30m 59.4s,+05° 09′ 35″,14.8,
0139,,Spiral galaxy,Pisces,00h 31m 06.4s,+05° 04′ 43″,15.5,
0140,,Spiral galaxy,Andromeda,00h 31m 20.6s,+30° 47′ 33″,14.2,
0141,,Galaxy,Pisces,00h 31m 19.0s,+05° 10′ 52″,15.4,
0142,,Spiral galaxy,Cetus,00h 31m 07.9s,-22° 37′ 07″,,
0143,,Spiral galaxy,Cetus,00h 31m 15.5s,-22° 33′ 37″,,
0144,,Spiral galaxy,Cetus,00h 31m 20.7s,-22° 38′ 47″,,
0145,,Irregular galaxy,Cetus,00h 31m 45.0s,-05° 09′ 11″,12,
0146,,Open cluster,Cassiopeia,00h 33m,+63° 18′,9.6,
0147,,Elliptical galaxy,Cassiopeia,00h 33m 11.8s,+48° 30′ 25″,12.0,
0148,,Lenticular galaxy,Sculptor,00h 34m 15.6s,-31° 47′ 07″,13.1,
0149,,Lenticular galaxy,Andromeda,00h 33m 50.4s,+30° 43′ 23″,15.0,
0150,,Spiral galaxy,Sculptor,00h 34m 16.1s,-27° 48′ 16″,11.8,
0151,,Spiral galaxy,Cetus,00h 34m 02.8s,-09° 42′ 19″,12.2,
0152,,Open cluster,Tucana,00h 32m 56.3s,-73° 06′ 57″,13.1,
0153,(Duplicate of NGC 151),Spiral galaxy,Cetus,00h 34m 02.8s,-09° 42′ 19″,12.2,
0154,,Galaxy,Cetus,00h 34m 19.5s,-12° 39′ 23″,14,
0155,,Lenticular galaxy,Cetus,00h 34m 40.1s,-10° 45′ 60″,13,
0156,,Double star,Cetus,00h 35m,-08° 21′,,
0157,,Spiral galaxy,Cetus,00h 34m 46.7s,-08° 23′ 48″,10,
0158,,Double star,Cetus,00h 35m,-08° 19′,,
0159,,Spiral galaxy,Phoenix,00h 34m 35.5s,-55° 47′ 26″,,
0160,,Lenticular galaxy,Andromeda,00h 36m 04.1s,+23° 57′ 31″,13.7,
0161,,Lenticular galaxy,Cetus,00h 35m 33.9s,-02° 50′ 55″,15,
0162,,Star,Andromeda,00h 35m 58.0s,+24° 02′ 16″,16.0,
0163,,Elliptical galaxy,Cetus,00h 35m 59.8s,-10° 07′ 18″,13,
0164,,Galaxy,Pisces,00h 36m 33.0s,+02° 44′ 58″,16,
0165,,Spiral galaxy,Cetus,00h 36m 28.7s,-10° 06′ 18″,13,
0166,,Galaxy,Cetus,00h 35m 48.8s,-13° 36′ 40″,15,
0167,,Spiral galaxy,Cetus,00h 35m 23.0s,-23° 22′ 28″,,
0168,,Lenticular galaxy,Cetus,00h 36m 38.6s,-22° 35′ 35″,14.9,
0169,,Spiral galaxy,Andromeda,00h 36m 51.7s,+23° 59′ 28″,13.7,
0170,,Lenticular galaxy,Cetus,00h 36m 45.9s,+01° 53′ 11″,15.5,
0171,(Duplicate of NGC 175),Spiral galaxy,Cetus,00h 37m 21.9s,-19° 56′ 12″,12,
0172,,Spiral galaxy,Cetus,00h 37m 13.5s,-22° 35′ 12″,14.7,
0173,,Spiral galaxy,Cetus,00h 37m 12.6s,+01° 56′ 31″,14.5,
0174,,Spiral galaxy,Sculptor,00h 36m 58.8s,-29° 28′ 42″,13.5,
0175,,Spiral galaxy,Cetus,00h 37m 21.9s,-19° 56′ 12″,12,
0176,,Open cluster,Tucana,00h 35m 58.7s,-73° 09′ 57″,13.1,
0177,,Spiral galaxy,Cetus,00h 37m 34.3s,-22° 32′ 58″,14.2,
0178,IC 39,Irregular galaxy,Cetus,00h 39m 08.4s,-14° 10′ 17″,13.0,
0179,,Lenticular galaxy,Cetus,00h 37m 46.3s,-17° 51′ 00″,,
0180,,Spiral galaxy,Pisces,00h 37m 57.8s,+08° 38′ 04″,14.3,
0181,,Spiral galaxy,Andromeda,00h 38m 23.2s,+29° 28′ 22″,15.4,
0182,,Spiral galaxy,Pisces,00h 38m 12.5s,+02° 43′ 42″,13.8,
0183,,Elliptical galaxy,Andromeda,00h 38m 29.5s,+29° 30′ 40″,13.8,
0184,,Spiral galaxy,Andromeda,00h 38m 35.8s,+29° 26′ 51″,15.5,
0185,,Elliptical galaxy,Cassiopeia,00h 38m 57.4s,+48° 20′ 14″,11.0,
0186,,Lenticular galaxy,Pisces,00h 38m 25.3s,+03° 09′ 58″,14.8,
0187,,Spiral galaxy,Cetus,00h 39m 30.4s,-14° 39′ 17″,13,
0188,,Open cluster,Cepheus,00h 48m 26s,+85° 15′,8.9,
0189,,Open cluster,Cassiopeia,00h 40m,+61° 04′,9.1,
0190,,Interacting galaxy,Pisces,00h 38m 54.8s,+07° 03′ 45″,15.1,
0191,,Spiral galaxy,Cetus,00h 38m 59.3s,-09° 00′ 09″,12,
0192,,Spiral galaxy,Cetus,00h 39m 13.5s,+00° 51′ 49″,13.9,
0193,,Lenticular galaxy,Pisces,00h 39m 18.7s,+03° 19′ 53″,13.2,
0194,,Elliptical galaxy,Pisces,00h 39m 18.5s,+03° 02′ 14″,13.9,
0195,,Spiral galaxy,Cetus,00h 39m 35.8s,-09° 11′ 40″,14,
0196,,Lenticular galaxy,Cetus,00h 39m 17.9s,+00° 54′ 45″,14.2,
0197,,Lenticular galaxy,Cetus,00h 39m 18.9s,+00° 53′ 30″,14.2,
0198,,Spiral galaxy,Pisces,00h 39m 23.1s,+02° 47′ 51″,14.1,
0199,,Lenticular galaxy,Pisces,00h 39m 33.3s,+03° 08′ 19″,15.0,
0200,,Spiral galaxy,Pisces,00h 39m 34.9s,+02° 53′ 14″,14.0,
0201,,Spiral galaxy,Cetus,00h 39m 34.9s,+00° 51′ 35″,14.7,
0202,,Lenticular galaxy,Pisces,00h 39m 40.0s,+03° 32′ 10″,15.5,
0203,,Lenticular galaxy,Pisces,00h 39m 39.5s,+03° 26′ 34″,14.5,
0204,,Lenticular galaxy,Pisces,00h 39m 44.3s,+03° 17′ 58″,14.6,
0205,Messier 110,Elliptical galaxy,Andromeda,00h 40m 22.0s,+41° 41′ 07″,9.4,
0206,,Association of stars,Andromeda,00h 40m 33.8s,+40° 44′ 22″,,
0207,,Galaxy,Cetus,00h 39m 40.8s,-14° 14′ 15″,14.8,
0208,,Spiral galaxy,Pisces,00h 40m 17.6s,+02° 45′ 22″,15.5,
0209,,Lenticular galaxy,Cetus,00h 39m 03.6s,-18° 36′ 30″,14.0,
0210,,Spiral galaxy,Cetus,00h 40m 35.1s,-13° 52′ 26″,11,
0211,(Duplicate of NGC 203),Lenticular galaxy,Pisces,00h 39m 39.5s,+03° 26′ 34″,14.5,
0212,,Lenticular galaxy,Phoenix,00h 40m 13.3s,-56° 09′ 11″,,
0213,,Spiral galaxy,Pisces,00h 41m 10.1s,+16° 28′ 08″,14.8,
0214,,Spiral galaxy,Andromeda,00h 41m 27.9s,+25° 30′ 01″,13.0,
0215,,Lenticular galaxy,Phoenix,00h 40m 48.9s,-56° 12′ 51″,,
0216,,Lenticular galaxy,Cetus,00h 41m 26.5s,-21° 02′ 43″,13.6,
0217,,Spiral galaxy,Cetus,00h 41m 33.8s,-10° 01′ 19″,13,
0218,,Spiral galaxy,Andromeda,00h 41m 44.7s,+36° 21′ 34″,15.5,
0219,,Elliptical galaxy,Cetus,00h 42m 11.3s,+00° 54′ 16″,15.6,
0220,(Located in Small Magellanic Cloud),Open cluster,Tucana,00h 40m 30.5s,-73° 24′ 10″,14.6,
0221,Messier 32,Elliptical galaxy,Andromeda,00h 42m 41.9s,+40° 51′ 57″,9.2,
0222,(Located in Small Magellanic Cloud),Open cluster,Tucana,00h 40m 44.1s,-73° 23′ 00″,12.8,
0223,,Spiral galaxy,Cetus,00h 42m 15.9s,+00° 50′ 44″,14.5,
0224,Messier 31/Andromeda Galaxy,Spiral galaxy,Andromeda,00h 42m 44.3s,+41° 16′ 09″,4.3,
0225,,Open cluster,Cassiopeia,00h 44m,+61° 47′,7.4,
0226,,Spiral galaxy,Andromeda,00h 42m 54.3s,+32° 34′ 49″,14.4,
0227,,Lenticular galaxy,Cetus,00h 42m 37.0s,-01° 31′ 44″,13.4,
0228,,Spiral galaxy,Andromeda,00h 42m 54.5s,+23° 30′ 12″,14.9,
0229,,Galaxy,Andromeda,00h 43m 04.7s,+23° 30′ 33″,14.7,
0230,,Spiral galaxy,Cetus,00h 42m 27.1s,-23° 37′ 45″,,
0231,(Located in Small Magellanic Cloud),Open cluster,Tucana,00h 41m 06.2s,-73° 21′ 07″,13.1,
0232,,Spiral galaxy,Cetus,00h 42m 45.6s,-23° 33′ 39″,14.4,
0233,,Elliptical galaxy,Andromeda,00h 43m 36.8s,+30° 35′ 12″,13.8,
0234,,Spiral galaxy,Pisces,00h 43m 32.4s,+14° 20′ 33″,13.5,
0235,,Interacting galaxy,Cetus,00h 42m 52.5s,-23° 32′ 28″,14,
0236,,Spiral galaxy,Pisces,00h 43m 27.6s,+02° 57′ 28″,14.5,
0237,,Spiral galaxy,Cetus,00h 43m 27.9s,-00° 07′ 32″,13.6,
0238,,Spiral galaxy,Phoenix,00h 43m 25.8s,-50° 10′ 58″,13.1,
0239,,Spiral galaxy,Cetus,00h 44m 37.5s,-03° 45′ 34″,14,
0240,,Spiral galaxy,Pisces,00h 45m 02.0s,+06° 06′ 47″,14.8,
0241,(Located in Small Magellanic Cloud),Open cluster,Tucana,00h 43m 32.7s,-73° 26′ 25″,,
0242,(Located in Small Magellanic Cloud),Open cluster,Tucana,00h 43m 37.6s,-73° 26′ 38″,12.1,
0243,,Lenticular galaxy,Andromeda,00h 46m 00.7s,+29° 57′ 34″,14.6,
0244,,Lenticular galaxy,Cetus,00h 45m 46.5s,-15° 35′ 51″,13,
0245,,Spiral galaxy,Cetus,00h 46m 05.6s,-01° 43′ 24″,12.9,
0246,,Planetary nebula,Cetus,00h 47m 03.3s,-11° 52′ 19″,11.4,
0247,,Spiral galaxy,Cetus,00h 47m 08.6s,-20° 45′ 38″,9.6,
0248,(Located in Small Magellanic Cloud),Diffuse nebula,Tucana,00h 46m 19.6s,-73° 23′ 21″,,
0249,(Located in Small Magellanic Cloud),Diffuse nebula,Tucana,00h 45m 10.9s,-73° 04′ 17″,,
0250,,Spiral galaxy,Pisces,00h 47m 16.1s,+07° 54′ 36″,14.9,
0251,,Spiral galaxy,Pisces,00h 47m 54.0s,+19° 35′ 48″,14.6,
0252,,Lenticular galaxy,Andromeda,00h 48m 01.5s,+27° 37′ 29″,13.5,
0253,Sculptor Galaxy,Spiral galaxy,Sculptor,00h 47m 33.1s,-25° 17′ 18″,8.0,
0254,,Lenticular galaxy,Sculptor,00h 47m 27.5s,-31° 25′ 19″,12.7,
0255,,Spiral galaxy,Cetus,00h 47m 47.2s,-11° 28′ 05″,11,
0256,(Located in Small Magellanic Cloud),Open cluster,Tucana,00h 45m 54.3s,-73° 30′ 24″,12.8,
0257,,Spiral galaxy,Pisces,00h 48m 01.6s,+08° 17′ 48″,13.7,
0258,,Galaxy,Andromeda,00h 48m 12.8s,+27° 39′ 26″,15,
0259,,Spiral galaxy,Cetus,00h 48m 03.3s,-02° 46′ 34″,12.5,
0260,,Spiral galaxy,Andromeda,00h 48m 34.9s,+27° 41′ 30″,14.3,
0261,(Located in Small Magellanic Cloud),Diffuse nebula,Tucana,00h 46m 33.0s,-73° 05′ 55″,,
0262,,Spiral galaxy,Andromeda,00h 48m 47.1s,+31° 57′ 25″,15.0,
0263,,Spiral galaxy,Cetus,00h 48m 48.4s,-13° 06′ 28″,14,
0264,,Lenticular galaxy,Sculptor,00h 48m 21.1s,-38° 14′ 05″,14.9,
0265,(Located in Small Magellanic Cloud),Open cluster,Tucana,00h 47m 11.6s,-73° 28′ 38″,12.5,
0266,,Spiral galaxy,Pisces,00h 49m 48.0s,+32° 16′ 39″,12.6,
0267,(Located in Small Magellanic Cloud),Diffuse nebula,Tucana,00h 48m 37.6s,-73° 18′ 59″,,
0268,,Spiral galaxy,Cetus,00h 50m 09.4s,-05° 11′ 37″,12.5,
0269,(Located in Small Magellanic Cloud),Open cluster,Tucana,00h 48m 21.2s,-73° 31′ 49″,13.0,
0270,,Lenticular galaxy,Cetus,00h 50m 32.4s,-08° 39′ 05″,13,
0271,,Spiral galaxy,Cetus,00h 50m 41.9s,-01° 54′ 37″,13.2,
0272,,Open cluster,Andromeda,00h 51m,+35° 50′,,
0273,,Lenticular galaxy,Cetus,00h 50m 48.5s,-06° 53′ 08″,13,
0274,,Lenticular galaxy,Cetus,00h 51m 01.9s,-07° 03′ 26″,13,
0275,,Spiral galaxy,Cetus,00h 51m 04.4s,-07° 03′ 56″,13,
0276,,Spiral galaxy,Cetus,00h 52m 06.4s,-22° 40′ 50″,15.7,
0277,,Lenticular galaxy,Cetus,00h 51m 17.2s,-08° 35′ 48″,13,
0278,,Spiral galaxy,Cassiopeia,00h 52m 04.4s,+47° 33′ 01″,10.5,
0279,,Lenticular galaxy,Cetus,00h 52m 09.0s,-02° 13′ 07″,14.0,
0280,,Spiral galaxy,Andromeda,00h 52m 30.3s,+24° 21′ 04″,14.6,
0281,,Diffuse nebula,Cassiopeia,00h 52m 25.1s,+56° 33′ 54″,7.3,
0282,,Galaxy,Pisces,00h 52m 42.2s,+30° 38′ 21″,14.7,
0283,,Spiral galaxy,Cetus,00h 53m 13.2s,-13° 09′ 50″,14,
0284,,Galaxy,Cetus,00h 54m,-13° 09′,15,
0285,,Galaxy,Cetus,00h 53m 29.8s,-13° 09′ 39″,14.9,
0286,,Lenticular galaxy,Cetus,00h 53m 30.4s,-13° 06′ 46″,14,
0287,,Galaxy,Pisces,00h 53m 28.3s,+32° 28′ 56″,14.8,
0288,,Globular cluster,Sculptor,00h 52m 45.3s,-26° 34′ 43″,10,
0289,,Spiral galaxy,Sculptor,00h 52m 41.7s,-31° 12′ 28″,11.6,
0290,(Located in Small Magellanic Cloud),Open cluster,Tucana,00h 51m 14.1s,-73° 09′ 42″,12.1,
0291,,Spiral galaxy,Cetus,00h 53m 29.8s,-08° 46′ 04″,14,
0292,Small Magellanic Cloud,Irregular galaxy,Tucana,00h 52m 38.0s,-72° 48′ 01″,2.8,
0293,,Spiral galaxy,Cetus,00h 54m 16.0s,-07° 14′ 09″,14,
0294,(Located in Small Magellanic Cloud),Open cluster,Tucana,00h 53m 05.6s,-73° 22′ 49″,12.7,
0295,,Nonexistent object,Pisces,00h 55m 07.7s,+31° 32′ 32″,13.5,
0296,(Sometimes mistakenly identified as NGC 295),Spiral galaxy,Pisces,00h 55m 21.7s,+31° 40′ 37″,15.4,
0297,,Galaxy,Cetus,00h 54m 58.9s,-07° 20′ 58.8″,17.3,
0298,,Spiral galaxy,Cetus,00h 55m 02.3s,-07° 19′ 57″,13.5,
0299,,Open cluster,Tucana,00h 53m 24.7s,-72° 11′ 48″,12.1,
0300,,Spiral galaxy,Sculptor,00h 54m 53.5s,-37° 40′ 59″,8.7,
0301,,Galaxy,Cetus,00h 56m 18.3s,-10° 40′ 25″,15.5,
0302,,Star,Cetus,00h 56m,-10° 39′,,
0303,,Lenticular galaxy,Cetus,00h 54m 54.9s,-16° 39′ 14″,15.5,
0304,,Spiral galaxy,Andromeda,00h 56m 06.1s,+24° 07′ 39″,14.0,
0305,,Asterism,Pisces,00h 55m 58.7s,+12° 07′ 25″,15.4,
0306,,Open cluster,Tucana,00h 54m 14.3s,-72° 14′ 27″,12.2,
0307,,Lenticular galaxy,Cetus,00h 56m 32.6s,-01° 46′ 20″,14.1,
0308,,Star,Cetus,00h 56m 22.4s,-01° 46′ 45″,,
0309,,Spiral galaxy,Cetus,00h 56m 42.7s,-09° 54′ 50″,12,
0310,,Star,Cetus,00h 57m,-01° 46′,,
0311,,Lenticular galaxy,Pisces,00h 57m 32.8s,+30° 16′ 50″,14.1,
